method,budget_name,strategy,n_cells,total_umis_in_data,auroc
GENIE3,High75,0,5739,53946168,0.7694371238249561
GRNBOOST2,High75,0,5739,53946168,0.7637137951512113
PIDC,High75,0,5739,53946168,0.7956073655818005
GENIE3,High75,100,7652,54127755,0.7528984433189931
GRNBOOST2,High75,100,7652,54127755,0.7573964973158439
PIDC,High75,100,7652,54127755,0.7830640691693577
GENIE3,High75,11,5951,54128693,0.7498878164416906
GRNBOOST2,High75,11,5951,54128693,0.7451064892538929
PIDC,High75,11,5951,54128693,0.7711564916341124
GENIE3,High75,22,6164,54130270,0.7436976901330626
GRNBOOST2,High75,22,6164,54130270,0.7380657329468421
PIDC,High75,22,6164,54130270,0.7645674057208924
GENIE3,High75,33,6376,54130335,0.7515935389117137
GRNBOOST2,High75,33,6376,54130335,0.7476582632094534
PIDC,High75,33,6376,54130335,0.7765955303842631
GENIE3,High75,44,6589,54129808,0.7483444454020829
GRNBOOST2,High75,44,6589,54129808,0.7490379790299855
PIDC,High75,44,6589,54129808,0.7737108222045119
GENIE3,High75,56,6801,54130022,0.7486478758757743
GRNBOOST2,High75,56,6801,54130022,0.7491850589921482
PIDC,High75,56,6801,54130022,0.7744027710458662
GENIE3,High75,67,7014,54129364,0.7496171698896096
GRNBOOST2,High75,67,7014,54129364,0.7478793152934685
PIDC,High75,67,7014,54129364,0.7727642693325399
GENIE3,High75,78,7226,54129970,0.7448932757880168
GRNBOOST2,High75,78,7226,54129970,0.7538831985471813
PIDC,High75,78,7226,54129970,0.770540007639297
GENIE3,High75,89,7439,54130539,0.7382174469677609
GRNBOOST2,High75,89,7439,54130539,0.7378540030217707
PIDC,High75,89,7439,54130539,0.7636456866154535
GENIE3,Low25,0,1913,17806436,0.77263143741012
GRNBOOST2,Low25,0,1913,17806436,0.7534767962739569
PIDC,Low25,0,1913,17806436,0.7922227223956209
GENIE3,Low25,100,7652,18043237,0.607527817582259
GRNBOOST2,Low25,100,7652,18043237,0.6082860672879054
PIDC,Low25,100,7652,18043237,0.6141175397827624
GENIE3,Low25,11,2550,18040438,0.7438040544836763
GRNBOOST2,Low25,11,2550,18040438,0.7317466331682732
PIDC,Low25,11,2550,18040438,0.7597797690909638
GENIE3,Low25,22,3188,18042634,0.7003781732003616
GRNBOOST2,Low25,22,3188,18042634,0.6923025811242511
PIDC,Low25,22,3188,18042634,0.7123222631562546
GENIE3,Low25,33,3826,18043886,0.6826711568977889
GRNBOOST2,Low25,33,3826,18043886,0.6799519292618643
PIDC,Low25,33,3826,18043886,0.6868362169142749
GENIE3,Low25,44,4463,18042968,0.6918506654785915
GRNBOOST2,Low25,44,4463,18042968,0.6952944878886652
PIDC,Low25,44,4463,18042968,0.6950922056245658
GENIE3,Low25,56,5101,18044409,0.6739947166051887
GRNBOOST2,Low25,56,5101,18044409,0.6696073693849784
PIDC,Low25,56,5101,18044409,0.6874670370008568
GENIE3,Low25,67,5739,18045444,0.6625461707162231
GRNBOOST2,Low25,67,5739,18045444,0.6697615283566678
PIDC,Low25,67,5739,18045444,0.671480078035292
GENIE3,Low25,78,6376,18037126,0.635548377912331
GRNBOOST2,Low25,78,6376,18037126,0.6448097459261836
PIDC,Low25,78,6376,18037126,0.6333383308983953
GENIE3,Low25,89,7014,18043985,0.6512290289653472
GRNBOOST2,Low25,89,7014,18043985,0.6442772860789503
PIDC,Low25,89,7014,18043985,0.6619294459397871
GENIE3,Medium50,0,3826,36085398,0.7515980989413276
GRNBOOST2,Medium50,0,3826,36085398,0.7463629292359654
PIDC,Medium50,0,3826,36085398,0.775640670226329
GENIE3,Medium50,100,7652,36080576,0.7382421868018502
GRNBOOST2,Medium50,100,7652,36080576,0.7424664371693378
PIDC,Medium50,100,7652,36080576,0.7521545955818261
GENIE3,Medium50,11,4251,36085573,0.7707331709922407
GRNBOOST2,Medium50,11,4251,36085573,0.7643114775093058
PIDC,Medium50,11,4251,36085573,0.7928138210533623
GENIE3,Medium50,22,4676,36085300,0.7490054935266862
GRNBOOST2,Medium50,22,4676,36085300,0.7487640713910215
PIDC,Medium50,22,4676,36085300,0.7735818550196913
GENIE3,Medium50,33,5101,36086495,0.7452432348287485
GRNBOOST2,Medium50,33,5101,36086495,0.7517866228278197
PIDC,Medium50,33,5101,36086495,0.7614134727438006
GENIE3,Medium50,44,5526,36083802,0.7491180127495591
GRNBOOST2,Medium50,44,5526,36083802,0.7578690917422647
PIDC,Medium50,44,5526,36083802,0.7697377230410479
GENIE3,Medium50,56,5951,36087363,0.7256399942360111
GRNBOOST2,Medium50,56,5951,36087363,0.7268331909292094
PIDC,Medium50,56,5951,36087363,0.7438649152237653
GENIE3,Medium50,67,6376,36084102,0.7488344590444567
GRNBOOST2,Medium50,67,6376,36084102,0.7550657383559868
PIDC,Medium50,67,6376,36084102,0.7658477142501076
GENIE3,Medium50,78,6801,36087213,0.7215700981892963
GRNBOOST2,Medium50,78,6801,36087213,0.7311213742587048
PIDC,Medium50,78,6801,36087213,0.7383364578877174
GENIE3,Medium50,89,7226,36085363,0.7182167889931682
GRNBOOST2,Medium50,89,7226,36085363,0.7283568448989792
PIDC,Medium50,89,7226,36085363,0.7363042378707221
GENIE3,Nano10,0,765,6867891,0.7452071682638599
GRNBOOST2,Nano10,0,765,6867891,0.7111333662285233
PIDC,Nano10,0,765,6867891,0.7488193428782897
GENIE3,Nano10,100,7652,7215596,0.6249585366409489
GRNBOOST2,Nano10,100,7652,7215596,0.542228420550185
PIDC,Nano10,100,7652,7215596,0.6207692897135131
GENIE3,Nano10,11,1530,7218441,0.6889467903314864
GRNBOOST2,Nano10,11,1530,7218441,0.6724451866078964
PIDC,Nano10,11,1530,7218441,0.6935148400957077
GENIE3,Nano10,22,2295,7217477,0.6533309039855375
GRNBOOST2,Nano10,22,2295,7217477,0.6253713025791177
PIDC,Nano10,22,2295,7217477,0.6548986404413926
GENIE3,Nano10,33,3060,7217087,0.6540402124148226
GRNBOOST2,Nano10,33,3060,7217087,0.6238047902592181
PIDC,Nano10,33,3060,7217087,0.6510343251033296
GENIE3,Nano10,44,3825,7215201,0.6105030720316489
GRNBOOST2,Nano10,44,3825,7215201,0.585240168941202
PIDC,Nano10,44,3825,7215201,0.6100955215690796
GENIE3,Nano10,56,4591,7218054,0.6354608812726179
GRNBOOST2,Nano10,56,4591,7218054,0.5752300731494823
PIDC,Nano10,56,4591,7218054,0.6366747202594455
GENIE3,Nano10,67,5356,7217331,0.6149807954081791
GRNBOOST2,Nano10,67,5356,7217331,0.5692151590591537
PIDC,Nano10,67,5356,7217331,0.6281743786895508
GENIE3,Nano10,78,6121,7218513,0.6291029225921527
GRNBOOST2,Nano10,78,6121,7218513,0.5780873355005592
PIDC,Nano10,78,6121,7218513,0.6347573834756065
GENIE3,Nano10,89,6886,7216704,0.5940217476177625
GRNBOOST2,Nano10,89,6886,7216704,0.5609962568419177
PIDC,Nano10,89,6886,7216704,0.5981319490124262
